Timestamp,Valor(m)
1756672488,6.585
1756672788,6.589
1756673088,6.588
1756673388,6.584
1756673688,6.586
1756673988,6.589
1756674288,6.593
1756674588,6.587
1756674888,6.585
1756675188,6.589
1756675488,6.585
1756675788,6.591
1756676088,6.588
1756676388,6.589
1756676687,6.589
1756676987,6.591
1756677287,6.591
1756677587,6.596
1756677887,6.586
1756678187,6.587
1756678487,6.589
1756678787,6.587
1756679087,6.584
1756679387,6.587
1756679687,6.580
1756679987,6.586
1756680287,6.585
1756680587,6.589
1756680887,6.589
1756681187,6.583
1756681487,6.585
1756681787,6.587
1756682087,6.586
1756682387,6.589
1756682687,6.590
1756682987,6.588
1756683287,6.593
1756683587,6.589
1756683887,6.588
1756684187,6.584
1756684487,6.592
1756684787,6.591
1756685087,6.587
1756685387,6.593
1756685687,6.587
1756685987,6.591
1756686287,6.592
1756686587,6.590
1756686887,6.583
1756687187,6.595
1756687487,6.592
1756687787,6.590
1756688087,6.591
1756688387,6.589
1756688687,6.589
1756688987,6.592
1756689287,6.589
1756689587,6.595
1756689887,6.586
1756690187,6.587
1756690487,6.591
1756690787,6.585
1756691087,6.586
1756691387,6.588
1756691687,6.592
1756691987,6.585
1756692287,6.582
1756692587,6.580
1756692887,6.589
1756693187,6.582
1756693487,6.590
1756693787,6.587
1756694087,6.595
1756694387,6.582
1756694687,6.589
1756694987,6.593
1756695287,6.593
1756695587,6.592
1756695887,6.590
1756696187,6.592
1756696487,6.592
1756696787,6.591
1756697087,6.596
1756697387,6.593
1756697687,6.586
1756697987,6.593
1756698287,6.593
1756698587,6.595
1756698887,6.595
1756699187,6.589
1756699487,6.593
1756699787,6.591
1756700087,6.588
1756700387,6.591
1756700687,6.596
1756700987,6.589
1756701287,6.587
1756701587,6.594
1756701887,6.583
1756702187,6.585
1756702487,6.522
1756702787,6.496
1756703087,6.449
1756703387,6.426
1756703687,6.425
1756703987,6.436
1756704287,6.429
1756704587,6.435
1756704886,6.433
